iso,node,timestamp,market,lmp
MISO,NODE_MISO_NORTH_HUB,2026-01-01 08:00,DA,28.45
MISO,NODE_MISO_NORTH_HUB,2026-01-01 08:00,RT,31.22
MISO,NODE_MISO_SOUTH_HUB,2026-01-01 08:00,DA,30.10
MISO,NODE_MISO_SOUTH_HUB,2026-01-01 08:00,RT,34.55
PJM,NODE_PJM_WEST_HUB,2026-01-01 08:00,DA,42.80
PJM,NODE_PJM_WEST_HUB,2026-01-01 08:00,RT,47.15
PJM,NODE_PJM_EAST_HUB,2026-01-01 08:00,DA,44.20
PJM,NODE_PJM_EAST_HUB,2026-01-01 08:00,RT,49.90

MISO,NODE_MISO_NORTH_HUB,2026-01-01 09:00,DA,29.75
MISO,NODE_MISO_NORTH_HUB,2026-01-01 09:00,RT,33.40
MISO,NODE_MISO_SOUTH_HUB,2026-01-01 09:00,DA,31.00
MISO,NODE_MISO_SOUTH_HUB,2026-01-01 09:00,RT,36.80
PJM,NODE_PJM_WEST_HUB,2026-01-01 09:00,DA,43.10
PJM,NODE_PJM_WEST_HUB,2026-01-01 09:00,RT,48.25
PJM,NODE_PJM_EAST_HUB,2026-01-01 09:00,DA,45.00
PJM,NODE_PJM_EAST_HUB,2026-01-01 09:00,RT,51.40
